,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,hora_bruta
1133,0,78,12,0,5,4,7
1134,1,46,0,0,5,4,8
1135,1,12,0,4,5,4,9
1136,1,55,0,4,5,4,9
1137,0,34,3,4,5,4,13
1138,0,1,12,4,5,4,14
1139,1,4,0,4,5,4,14
1140,1,40,12,0,5,4,14
1141,1,16,0,4,5,4,15
1142,1,39,0,4,5,4,15
1143,1,23,12,4,5,4,18
1144,0,39,12,4,6,4,1
1145,1,58,12,4,6,4,8
1146,1,66,12,4,6,4,12
1147,1,78,0,4,6,4,13
1148,1,42,0,4,6,4,13
1149,1,12,1,4,6,4,15
1150,0,39,12,4,6,4,16
1151,0,31,3,4,6,4,17
1152,1,81,12,0,6,4,17
1153,0,58,1,4,6,4,19
1154,1,31,12,4,6,4,20
1155,0,50,0,4,6,4,22
1156,1,67,0,4,0,4,5
1157,1,13,0,4,0,4,7
1158,0,11,0,4,0,4,7
1159,0,1,0,4,0,4,8
1160,1,58,0,4,0,4,9
1161,1,22,0,4,0,4,10
1162,1,24,1,4,0,4,10
1163,0,50,3,4,0,4,11
1164,0,12,1,4,0,4,13
1165,1,78,1,4,0,4,14
1166,0,31,1,4,0,4,14
1167,0,10,11,4,0,4,16
1168,1,12,0,4,0,4,17
1169,0,79,0,4,0,4,18
1170,1,47,12,4,0,4,18
1171,0,42,0,4,0,4,22
1172,0,12,12,4,1,4,6
1173,1,49,12,4,1,4,7
1174,1,1,12,4,1,4,8
1175,1,84,12,4,1,4,8
1176,1,58,12,4,1,4,8
1177,0,44,0,4,1,4,9
1178,1,22,0,4,1,4,10
1179,0,83,0,4,1,4,12
1180,0,54,1,4,1,4,16
1181,1,90,0,4,1,4,17
1182,1,12,12,4,1,4,19
1183,1,55,0,4,1,4,19
1184,1,15,12,4,1,4,21
1185,1,45,0,4,1,4,22
1186,1,50,12,0,2,4,6
1187,0,10,0,4,2,4,7
1188,0,35,1,0,2,4,7
1189,1,52,1,4,2,4,11
1190,0,27,3,4,2,4,12
1191,0,81,14,0,2,4,13
1192,1,12,1,4,2,4,13
1193,1,78,0,4,2,4,13
1194,1,45,0,4,2,4,15
1195,1,50,12,4,2,4,18
1196,1,50,12,4,2,4,19
1197,2,1,14,4,2,4,21
1198,1,12,1,4,3,4,6
1199,0,49,12,4,3,4,6
1200,1,78,1,4,3,4,9
1201,1,24,0,4,3,4,10
1202,1,83,1,4,3,4,10
1203,1,12,12,4,3,4,11
1204,1,24,0,4,3,4,13
1205,1,12,12,4,3,4,15
1206,0,24,0,4,3,4,15
1207,0,12,3,4,3,4,15
1208,1,59,12,4,3,4,16
1209,1,12,12,4,3,4,17
1210,0,37,1,4,3,4,21
1211,0,7,8,4,4,4,5
1212,1,78,0,4,4,4,15
1213,0,36,1,4,4,4,17
1214,0,23,8,4,4,4,17
1215,0,46,0,0,5,4,7
1216,1,13,1,0,5,4,8
1217,1,57,0,0,5,4,9
1218,1,49,0,0,5,4,19
1219,1,78,1,4,6,4,0
1220,1,78,12,4,6,4,13
1221,1,10,1,4,6,4,21
1222,0,36,0,4,0,4,7
1223,1,1,1,4,0,4,7
1224,1,92,0,4,0,4,8
1225,1,79,0,4,0,4,8
1226,0,9,0,4,0,4,10
1227,1,81,0,4,0,4,11
1228,1,39,12,4,0,4,12
1229,1,75,12,4,0,4,16
1230,1,78,12,4,0,4,16
1231,1,51,0,4,0,4,17
1232,0,12,12,4,0,4,17
1233,0,12,0,0,0,4,21
1234,1,50,0,4,0,4,22
1235,1,78,1,4,1,4,10
1236,0,50,12,4,1,4,15
1237,1,49,0,4,1,4,18
1238,0,12,12,0,1,4,19
1239,0,86,0,4,1,4,20
1240,0,9,1,4,2,4,0
1241,0,23,10,4,2,4,6
1242,0,8,0,4,2,4,8
1243,1,48,0,4,2,4,8
1244,0,37,1,0,2,4,11
1245,1,9,0,4,2,4,11
1246,0,73,1,4,2,4,11
1247,1,40,1,0,2,4,15
1248,1,49,12,0,2,4,17
1249,1,12,1,4,2,4,17
1250,0,13,0,0,2,4,18
1251,1,58,12,4,3,4,8
1252,1,12,0,0,3,4,10
1253,1,12,12,0,3,4,12
1254,0,74,0,0,3,4,17
1255,1,58,0,0,3,4,17
1256,1,25,0,0,3,4,17
1257,0,27,3,0,3,4,17
1258,0,18,11,0,3,4,22
1259,0,85,5,4,4,4,7
1260,0,50,10,0,4,4,7
1261,1,23,0,4,4,4,8
1262,1,12,8,4,4,4,10
1263,0,23,3,4,4,4,12
1264,0,45,8,4,4,4,13
1265,0,39,0,4,4,4,14
1266,0,45,1,4,4,4,15
1267,0,78,10,4,4,4,15
1268,0,8,0,4,4,4,18
1269,0,31,1,4,4,4,20
1270,0,67,7,0,5,4,7
1271,0,39,0,4,5,4,7
1272,0,78,12,4,5,4,8
1273,0,12,10,4,5,4,8
1274,0,78,1,4,5,4,8
1275,1,46,0,4,5,4,12
1276,0,49,0,4,5,4,12
1277,0,73,0,4,5,4,13
1278,0,78,1,4,5,4,16
1279,1,67,12,4,5,4,16
1280,0,12,12,4,5,4,18
1281,0,84,11,4,5,4,23
1282,1,22,1,4,6,4,0
1283,1,50,12,4,6,4,1
1284,1,12,7,4,6,4,1
1285,1,92,8,4,6,4,5
1286,1,6,0,4,6,4,10
1287,1,12,12,4,6,4,16
1288,0,12,0,4,6,4,16
1289,0,78,0,4,6,4,17
1290,0,51,12,4,6,4,21
1291,1,49,12,0,0,4,2
1292,1,49,0,4,0,4,7
1293,1,1,12,4,0,4,8
1294,0,13,1,4,0,4,8
1295,1,12,8,4,0,4,10
1296,1,12,12,4,0,4,10
1297,0,50,1,4,0,4,12
1298,1,86,12,4,0,4,12
1299,1,7,12,4,1,4,6
1300,0,66,12,4,0,4,14
1301,0,50,12,4,0,4,14
1302,1,39,12,4,0,4,15
1303,1,51,12,4,0,4,16
1304,0,31,3,4,0,4,16
1305,0,67,1,4,0,4,18
1306,0,42,0,4,0,4,18
1307,1,58,12,4,0,4,19
1308,0,12,1,4,1,4,5
1309,1,42,0,4,1,4,9
1310,0,1,1,4,1,4,10
1311,0,45,0,4,1,4,11
1312,1,1,0,4,1,4,11
1313,1,42,0,4,1,4,12
1314,1,37,0,4,1,4,12
1315,0,89,0,4,1,4,12
1316,1,92,0,4,1,4,13
1317,0,58,1,4,1,4,14
1318,1,69,0,4,1,4,16
1319,0,58,10,4,1,4,16
1320,1,34,12,4,1,4,19
1321,1,92,0,4,2,5,8
1322,0,11,12,4,2,5,15
1323,0,50,3,4,2,5,15
1324,0,13,7,4,2,5,17
1325,0,13,0,4,2,5,21
1326,1,24,1,4,2,5,22
1327,0,85,10,4,3,5,6
1328,1,24,12,4,3,5,6
1329,0,69,7,4,3,5,6
