,natureza_acidente,bairro,tipo,dia_da_semana,mes,ano,hora_bruta
241,1,43,6,2,1,2018,4
242,1,57,9,2,1,2018,7
243,1,78,9,2,1,2018,7
244,0,78,9,2,1,2018,7
245,1,37,9,2,1,2018,8
246,1,12,9,2,1,2018,8
247,1,73,9,2,1,2018,9
248,1,50,9,2,1,2018,9
249,1,40,9,2,1,2018,10
250,1,15,13,2,1,2018,11
251,1,34,9,2,1,2018,11
252,1,12,9,2,1,2018,11
253,0,23,3,2,1,2018,13
254,0,15,3,2,1,2018,13
255,1,49,9,2,1,2018,13
256,1,9,9,2,1,2018,14
257,1,49,9,2,1,2018,14
258,1,49,13,2,1,2018,14
259,1,37,9,2,1,2018,15
260,1,78,9,2,1,2018,15
261,1,92,9,2,1,2018,16
262,1,88,9,2,1,2018,17
263,1,13,9,2,1,2018,18
264,0,83,9,2,1,2018,18
265,1,58,9,2,1,2018,19
266,0,49,9,2,1,2018,19
267,1,90,6,3,1,2018,1
268,1,12,9,3,1,2018,3
269,0,24,9,3,1,2018,6
270,1,69,9,3,1,2018,7
271,1,42,9,3,1,2018,7
272,1,49,9,3,1,2018,7
273,0,8,10,3,1,2018,8
274,0,7,9,3,1,2018,8
275,1,3,9,3,1,2018,10
276,1,78,9,3,1,2018,10
277,1,78,6,3,1,2018,10
278,1,75,9,3,1,2018,11
279,1,46,9,3,1,2018,11
280,0,13,9,3,1,2018,12
281,1,40,9,3,1,2018,12
282,1,53,13,3,1,2018,12
283,1,47,9,3,1,2018,13
284,1,12,9,3,1,2018,13
285,0,50,9,3,1,2018,13
286,1,43,9,3,1,2018,14
287,1,12,9,3,1,2018,14
288,1,7,9,3,1,2018,15
289,1,11,9,3,1,2018,15
290,1,12,9,3,1,2018,15
291,0,49,9,3,1,2018,16
292,1,13,9,3,1,2018,16
293,1,12,9,3,1,2018,17
294,1,12,9,3,1,2018,18
295,1,50,9,3,1,2018,19
296,1,34,9,3,1,2018,19
297,1,23,9,3,1,2018,20
298,1,78,9,3,1,2018,21
299,0,90,9,3,1,2018,21
300,1,89,6,3,1,2018,23
301,2,49,9,4,1,2018,5
302,1,50,9,4,1,2018,6
303,1,87,9,4,1,2018,6
304,0,61,9,4,1,2018,6
305,0,22,9,4,1,2018,7
306,1,12,9,4,1,2018,7
307,1,13,9,4,1,2018,7
308,1,22,9,4,1,2018,7
